words,count_2005,count_2006,count_2007,count_2008,count_2009,count_2010,count_2011,count_2012,count_2013,count_2014,count_2015,count_2016
cortex,1.0,1.0,,2.0,2.0,,,1.0,,,,
extrastriate,1.0,,,,,,,,,,,
monocular,1.0,,,,,2.0,,,,,,
care,1.0,,,1.0,,,,,,,1.0,
depth,1.0,,,,1.0,1.0,,1.0,,1.0,,2.0
contours,1.0,,,1.0,,,,,,,,
thinline,1.0,,,,,,,,,,,
occluding,1.0,,,,,,,,,,,
circuitry,1.0,,,,,,,,,,,
mrf,1.0,,,,,,,,,,1.0,
logic,1.0,,,,,,,1.0,,1.0,,
gene,1.0,1.0,1.0,1.0,,,,,,,,
social,1.0,,1.0,,2.0,1.0,,3.0,2.0,2.0,,4.0
eyes,1.0,,,,,,,,,,,
jittering,1.0,,,,,,,,,,,
encoding,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
cases,1.0,,,,1.0,,,,,,1.0,
different,1.0,,,1.0,,1.0,,,1.0,,,
gain,1.0,,,1.0,,,,,,,,
information-form,1.0,,,,,,,,,,,
association,1.0,,,,,,,,,1.0,,1.0
multi-layer,1.0,,,,,1.0,,,,,1.0,
landmark,1.0,,,,,,,,,,,
selecting,1.0,,1.0,,,,2.0,1.0,,,,
oblivious,1.0,,,,,,,,,,,
equilibrium,1.0,,,,,,,,,1.0,,
robotic,1.0,1.0,,1.0,,,,,,,,
synthesis,1.0,1.0,,,1.0,,,,1.0,1.0,3.0,3.0
image,1.0,5.0,3.0,4.0,13.0,6.0,11.0,10.0,7.0,8.0,9.0,8.0
mean,1.0,1.0,,,,,,,1.0,1.0,1.0,3.0
kd-trees,1.0,,,,,,,,,,,
bidirectional,1.0,,,,,,,,,1.0,3.0,1.0
systems,1.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,4.0,4.0
cochlear,1.0,,,,,,,,,,,
multi-chip,1.0,,,,,,,,,,,
chip,1.0,,,,,,,,,,,
filter,1.0,,1.0,,1.0,1.0,,1.0,,,,1.0
mechanisms,1.0,1.0,,,,,,,,1.0,1.0,
blocks,1.0,,,,,,,,,,,1.0
building,1.0,,,,,,,,,,,
contrast,1.0,,,,,,,,,,,
aer,1.0,,,,,,,,,,,
volume,1.0,,,,,,,1.0,,,,
minimum,1.0,,1.0,,,2.0,1.0,1.0,,,1.0,1.0
receptive,1.0,,1.0,1.0,,,3.0,1.0,1.0,,,1.0
confidence,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,
v1,1.0,,,2.0,,,,,,,,
factorial,1.0,1.0,,1.0,,,,1.0,,2.0,1.0,1.0
switching,1.0,1.0,,1.0,,1.0,,,1.0,,,1.0
tilt,1.0,,,,,,,,,,,
abstraction,1.0,,,1.0,1.0,,,,,,,1.0
kd-tree,1.0,,,,,,,,,,,
irregularities,1.0,,,,,,,,,,,
bias,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0
overcomplete,1.0,,1.0,,,,1.0,,1.0,,,1.0
channels,1.0,,,,,,,,1.0,,,
spatio-temporal,1.0,,,,1.0,1.0,,2.0,1.0,3.0,,1.0
improving,1.0,,1.0,1.0,1.0,2.0,2.0,,,,1.0,2.0
interfacing,1.0,,1.0,2.0,,,,,,,,
correcting,1.0,1.0,,,,,,,,,,
entropy,1.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,3.0,1.0,2.0,2.0
estimator,1.0,,1.0,1.0,,,,,1.0,2.0,1.0,2.0
character,1.0,,,,,,,,,,,
linear/constant,1.0,,,,,,,,,,,
time,1.0,4.0,6.0,2.0,3.0,2.0,5.0,3.0,8.0,4.0,6.0,9.0
slam,1.0,,,,,,,,,,,
dense,1.0,1.0,,,,,,1.0,,,,1.0
octopus,1.0,,,,,,,,,,,
noisy,1.0,,,,3.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0
coding,1.0,3.0,2.0,3.0,2.0,5.0,3.0,6.0,2.0,2.0,,1.0
theoretical,1.0,,3.0,,,,,2.0,,2.0,1.0,2.0
text,1.0,,,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0
sensing,1.0,1.0,,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0
range,1.0,,,,1.0,,,,,,,
fields,1.0,7.0,2.0,5.0,5.0,,2.0,2.0,3.0,2.0,1.0,
bregman,1.0,,,,2.0,,,,,1.0,,2.0
matrix,1.0,1.0,2.0,1.0,3.0,4.0,7.0,10.0,5.0,7.0,9.0,16.0
nonnegative,1.0,1.0,,,,,2.0,2.0,1.0,1.0,,1.0
generalized,1.0,4.0,1.0,,2.0,5.0,4.0,4.0,6.0,5.0,2.0,7.0
conversions,1.0,,,,,,,,,,,
data-driven,1.0,,,,2.0,,,,2.0,,,
budget,1.0,1.0,,1.0,,,,1.0,,,,3.0
fixed,1.0,,1.0,,1.0,,1.0,3.0,,,,
perceptron,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,1.0
kernel-based,1.0,,,,,,1.0,1.0,,,,1.0
arm,1.0,,,,,,1.0,1.0,,,,
difference,1.0,,1.0,2.0,,1.0,1.0,,,1.0,,
view,1.0,,1.0,,1.0,,1.0,,1.0,1.0,2.0,1.0
multiclass,1.0,1.0,,,,1.0,5.0,3.0,1.0,1.0,2.0,1.0
interpolating,1.0,,,,,,,,,,1.0,
classes,1.0,,,,,,,,,,,3.0
collapsing,1.0,,,,,,,,,,,
real,1.0,,,3.0,,1.0,,1.0,,,,
made,1.0,,,,,,,,,,1.0,
committee,1.0,,,,,,,,,,,
query,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,
controller,1.0,,,,,,,,,,,
reflexive,1.0,,,,,,,,,,,1.0
walking,1.0,,,,,,,,,,,
biped,1.0,,,,,,,,,,,
``edge-perts,1.0,,,,,,,,,,,
products,1.0,,,,,,,,,,,2.0
transduction,1.0,,,,1.0,1.0,,,,,1.0,
reasoning,1.0,1.0,,,1.0,1.0,1.0,,2.0,1.0,,
svm-2k,1.0,,,,,,,,,,,
modal,1.0,,,,,,,,,,,
constructive,1.0,,,,,,,,,,,
connectionist,1.0,,,,,,,,,,,
hull,1.0,,,,,,,,,2.0,,
rankings,1.0,,,1.0,,,,,,1.0,,1.0
cca,1.0,,,,1.0,,1.0,,,,,
affinity,1.0,,,,1.0,1.0,,,,,,
chopping,1.0,,,,,,,,,,,
example,1.0,,,,,,,,1.0,,,
one,1.0,,,1.0,,1.0,1.0,2.0,,,1.0,1.0
experiments,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,
biological,1.0,,,,,,,,1.0,,,
practice,1.0,,,,,,,,,,,
theory,1.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,4.0,3.0,6.0,4.0
forgetron,1.0,,,,,,,,,,,
n-body,1.0,,,,,,,,,,,
krylov,1.0,,,,,,,,,,1.0,
solving,1.0,,,,1.0,1.0,1.0,,4.0,,2.0,3.0
understanding,1.0,,,2.0,,2.0,2.0,,2.0,,,5.0
action,1.0,,1.0,1.0,,1.0,3.0,3.0,4.0,2.0,,3.0
reinforcement,1.0,3.0,3.0,4.0,3.0,4.0,7.0,11.0,3.0,5.0,3.0,7.0
rewards,1.0,,,,,1.0,,,1.0,1.0,,
generative,1.0,,1.0,2.0,3.0,1.0,1.0,2.0,3.0,5.0,8.0,9.0
topology,1.0,,1.0,,,,,1.0,,,,
everything,1.0,,,,,,,,,,,
semi--supervised,1.0,,,,,,,,,,,
laplacians,1.0,,,,,,,,,,,1.0
combining,1.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,3.0
objects,1.0,2.0,,1.0,,3.0,2.0,3.0,1.0,,,2.0
kinematic,1.0,,,,,,,,,,,
static,1.0,,,,1.0,1.0,,,,,,
recognizing,1.0,,,,,,,1.0,,,1.0,
problem,1.0,,,,4.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0
highly,1.0,,,,,,,2.0,,,,
inverse,1.0,,,2.0,1.0,3.0,4.0,5.0,6.0,2.0,2.0,3.0
cortically-plausible,1.0,,,,,,,,,,,
k-core,1.0,,,,,,,,,,,
visualization,1.0,,,,,,,,,,,
fingerprinting,1.0,,,,,,,,,,,
scale,1.0,3.0,2.0,,3.0,3.0,2.0,1.0,1.0,4.0,2.0,1.0
variables,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,4.0,2.0,1.0,2.0
constrained,1.0,,,1.0,1.0,1.0,3.0,3.0,,1.0,3.0,2.0
biophysical,1.0,,,,,,1.0,,,,,
infomax,1.0,,,,,,,1.0,,,,
kernelized,1.0,,,1.0,,,,,,,,
planning,1.0,1.0,,,1.0,1.0,2.0,1.0,5.0,2.0,2.0,2.0
policy-gradient,1.0,,,,,,,,,,,
helicopters,1.0,,,,,,,,,,,
curse,1.0,,,,,,,,,,,
machines,1.0,2.0,3.0,3.0,1.0,,2.0,4.0,2.0,4.0,1.0,2.0
interrupts,1.0,,,,,,,,,,,
flow,1.0,1.0,,,,2.0,,,1.0,,,4.0
norepinephrine,1.0,,,,,,,,,,,
coarse,1.0,,,1.0,,,,,,,,
trains,1.0,,1.0,1.0,,,,,,2.0,,
hidden,1.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,6.0,2.0
quality,1.0,1.0,,1.0,,1.0,,,,,1.0,
cut,1.0,,,,,,,1.0,,,,1.0
textures,1.0,,,,,,,,,,1.0,
layered,1.0,,,,,1.0,,,,,,
on-line,1.0,,1.0,,1.0,,,2.0,,,,
tail,1.0,,,,,,,,,,,
risk,1.0,4.0,2.0,2.0,,3.0,,2.0,1.0,,4.0,5.0
improved,1.0,,1.0,2.0,,,1.0,1.0,2.0,3.0,2.0,6.0
vlsi,1.0,2.0,4.0,1.0,,1.0,,,,,,
micropower,1.0,,,,,,,,,,,
rates,1.0,,1.0,1.0,1.0,5.0,4.0,1.0,1.0,4.0,6.0,6.0
non-local,1.0,,,,,,,,,,,
faster,1.0,,1.0,,,,,,3.0,,2.0,3.0
extraction,1.0,3.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0
relation,1.0,1.0,,,,,,,,,,
subsequence,1.0,,,,,,,,,,,
boundaries,1.0,,,,1.0,,,,,,,
threshold,1.0,2.0,,,,,,,,,,4.0
maximization,1.0,,1.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,7.0
saliency,1.0,2.0,2.0,,,,,2.0,,,1.0,
correlated,1.0,,,3.0,,,2.0,1.0,2.0,1.0,,2.0
reduction,1.0,2.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,5.0
dimension,1.0,3.0,1.0,1.0,,1.0,2.0,2.0,2.0,1.0,,2.0
semi-parametric,1.0,,,,,,,,,,,
windows,1.0,,,,,,1.0,,1.0,,,
parzen,1.0,,1.0,,,,,,,,,
between,1.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0
types,1.0,,,,,,,,1.0,,,
tokens,1.0,,,,,,,,,,,
end-to-end,1.0,,,,,,,,,,2.0,4.0
avalanches,1.0,,,,,,,,,,,
distribution,1.0,,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0
rise,1.0,,,,,,,,,,,
give,1.0,,,,,,,,,,,
synapses,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0
criterion,1.0,,,,,,,,1.0,,,
circuits,1.0,,,,1.0,1.0,,1.0,,1.0,,1.0
nanoelectronic,1.0,,,,,,,,,,,
possible,1.0,,,,,,,,,,,1.0
crossnets,1.0,,,,,,,,,,,
cmol,1.0,,,,,,,,,,,
transforms,1.0,,,,,,,,,,1.0,1.0
gauss,1.0,,,,,,,,,,,
dual-tree,1.0,,,,,,1.0,,,,,
location-based,1.0,,,,,,,,,,,
avoidance,1.0,,,,,,,,,,,
obstacle,1.0,,,,,,,,,,,
off-road,1.0,,,,,,,,,,,
covering,1.0,,,,,,,,,,,
set,1.0,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,,2.0,1.0
pac-bayes,1.0,3.0,,,1.0,,,1.0,,,,
similarity,1.0,4.0,1.0,1.0,1.0,1.0,,2.0,3.0,1.0,,3.0
fusion,1.0,,,,,,,1.0,,1.0,,
weaknesses,1.0,,,,,,,,,,,
fixing,1.0,,1.0,,,,,,,,,
dimensions,1.0,1.0,,1.0,1.0,,2.0,1.0,1.0,2.0,,
high,1.0,2.0,,2.0,2.0,1.0,4.0,3.0,1.0,6.0,2.0,3.0
rodeo,1.0,,,,,,,,,,,
assessing,1.0,,,,,,,1.0,,,,
lasso,1.0,,1.0,2.0,,2.0,4.0,,5.0,1.0,4.0,1.0
radial,1.0,,,1.0,,,,,,,,1.0
features,1.0,3.0,2.0,2.0,6.0,3.0,3.0,7.0,2.0,3.0,4.0,4.0
cortical,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,
unbiased,1.0,,,,,,,,,,,
experts,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,
alternative,1.0,,,1.0,,1.0,,,,,,1.0
predictive,1.0,,2.0,1.0,1.0,3.0,,,2.0,2.0,1.0,1.0
norepinepherine,1.0,,,,,,,,,,,
exploration-exploitation,1.0,,,,,,,,,,,
cerebellar,1.0,,,,,,,,,,,1.0
saving,1.0,,,,,,,,,,,
memory,1.0,,,3.0,1.0,1.0,1.0,2.0,3.0,2.0,7.0,3.0
law,1.0,,,,,,,,,,,1.0
power,1.0,,1.0,1.0,,2.0,1.0,,1.0,1.0,1.0,6.0
two-thirds,1.0,,,,,,,,,,,
wavelets,1.0,,,,,,,,1.0,,,
microcircuit,1.0,,,,,,,,,,,
feedback,1.0,,,,,2.0,1.0,2.0,1.0,4.0,1.0,4.0
basis,1.0,1.0,,1.0,,1.0,,,,,1.0,
principles,1.0,,,,,,,,,1.0,,1.0
correspondence,1.0,1.0,,,,1.0,,1.0,,1.0,,2.0
motion,1.0,3.0,2.0,3.0,3.0,5.0,,1.0,,,1.0,
detecting,1.0,2.0,,,,1.0,,,,,,
observers,1.0,,,,,,,,,,,1.0
ideal,1.0,,,1.0,,,1.0,,,,,
observations,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0
b-mixing,1.0,,,,,,,,,,,
stationary,1.0,,,,,,,1.0,1.0,,2.0,
categories,1.0,,,,1.0,1.0,,,,,,
localization,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
unsupervised,1.0,3.0,1.0,3.0,6.0,1.0,2.0,5.0,4.0,6.0,1.0,12.0
asymptotics,1.0,,,,,,,1.0,2.0,,,
multi-task,1.0,1.0,3.0,2.0,1.0,4.0,4.0,6.0,4.0,1.0,1.0,2.0
vehicular,1.0,,,,,,,,,,,
unobserved,1.0,,,,,,,,,,1.0,
generators,1.0,,,,,,,,,,,
programs,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,,,4.0
recurrent,1.0,,1.0,3.0,,1.0,2.0,2.0,3.0,3.0,11.0,11.0
relationships,1.0,,,,1.0,,,1.0,,,,
part-whole,1.0,,,,,,,,,,,
representing,1.0,,,,,,,,,,,
ooms,1.0,,,,,,,,,,,
attracts,1.0,,,,,,,,,,,
surprise,1.0,,,,,,,,,,,1.0
responses,1.0,,,1.0,,1.0,,,,,,1.0
cue-invariant,1.0,,,,,,,,,,,
perturbed,1.0,,,1.0,,,,1.0,,,,
non-iterative,1.0,,,,,,,,,,,
depression,1.0,,,2.0,1.0,1.0,,,,,,
digits,1.0,,,,,,,,,,,
handwritten,1.0,,,,,,,,,,,1.0
inferring,1.0,2.0,3.0,1.0,,1.0,2.0,,1.0,2.0,1.0,
belief,1.0,2.0,5.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0
score,1.0,,,1.0,2.0,1.0,,,,,,1.0
subspace,1.0,2.0,,,1.0,1.0,1.0,2.0,3.0,4.0,5.0,2.0
tensor,1.0,,,,1.0,1.0,3.0,1.0,7.0,6.0,4.0,8.0
undirected,1.0,,,,1.0,,,,2.0,,,
pairwise,1.0,,,,1.0,,2.0,1.0,2.0,5.0,,2.0
normalization,1.0,1.0,,1.0,,1.0,1.0,,,,,1.0
hot,1.0,,,,,,,,,,,
support,1.0,2.0,5.0,3.0,2.0,3.0,,2.0,,4.0,,1.0
path,1.0,,,,,,,,,,4.0,2.0
solution,1.0,,,1.0,,1.0,1.0,,,,,2.0
buffet,1.0,,,,2.0,1.0,,,,2.0,,
indian,1.0,,,,2.0,1.0,,,,2.0,,
unbalanced,1.0,,,,,,,,,,,
svms,1.0,1.0,1.0,1.0,,1.0,3.0,1.0,,,1.0,
walk-sum,1.0,,1.0,,,,,,,,,
epitomes,1.0,,,,,,,,,,,
decision-theoretic,1.0,,,,,,,,,1.0,,
early,1.0,,,,1.0,,,1.0,,,,1.0
communication,1.0,,,,,2.0,2.0,,2.0,2.0,1.0,1.0
minimal,1.0,,,,1.0,,,,,,,
coordinated,1.0,,,,,,,,,,,
measuring,1.0,,1.0,,2.0,,,,,,1.0,2.0
discriminant,1.0,,3.0,,1.0,1.0,,,,,1.0,1.0
fisher,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,1.0
tests,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0
non-parametric,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,,,1.0
benchmarking,1.0,,,,,,,,,,,
pursuit,1.0,,,1.0,2.0,2.0,3.0,2.0,,2.0,,1.0
matching,1.0,2.0,1.0,5.0,6.0,2.0,4.0,1.0,5.0,3.0,3.0,6.0
dependencies,1.0,,,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,
higher-order,1.0,,1.0,,,,2.0,,,1.0,,2.0
optimized,1.0,,,,,,,,,,,1.0
hyperparameter,1.0,1.0,1.0,,,,,,,,,
genetic,1.0,1.0,,,,,1.0,1.0,,,,
worst-case,1.0,,,,1.0,2.0,,,,,,1.0
transductive,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,
averaging,1.0,,1.0,,1.0,1.0,1.0,2.0,1.0,,1.0,1.0
descent,1.0,,1.0,,,1.0,3.0,3.0,1.0,5.0,8.0,10.0
mirror,1.0,,,,,,1.0,1.0,,,1.0,1.0
aggregation,1.0,,,,,2.0,,1.0,1.0,2.0,1.0,3.0
enough,1.0,,,,,,,,1.0,,,1.0
good,1.0,,,,,,,,,,1.0,2.0
are,1.0,1.0,1.0,,4.0,3.0,1.0,,3.0,1.0,3.0,3.0
integrate-and-fire,1.0,,,,,1.0,1.0,,,,,
cocktails,1.0,,,,,,,,,,,
vaccine,1.0,,,,,,,,,,,
hiv,1.0,1.0,,1.0,,,1.0,,,,,
diversity,1.0,,,,,,,1.0,,1.0,,2.0
principal,1.0,,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0
point,,4.0,,,1.0,4.0,1.0,1.0,4.0,3.0,3.0,3.0
eeg,,4.0,1.0,,1.0,,,,,,,
optimization,,4.0,3.0,6.0,7.0,9.0,10.0,12.0,17.0,16.0,31.0,39.0
discriminative,,4.0,6.0,4.0,2.0,5.0,,1.0,2.0,3.0,2.0,2.0
relational,,4.0,3.0,1.0,3.0,5.0,,1.0,1.0,1.0,,
binary,,4.0,1.0,3.0,4.0,4.0,1.0,4.0,8.0,3.0,1.0,4.0
mixtures,,3.0,,1.0,,,1.0,6.0,1.0,5.0,2.0,2.0
logistic,,3.0,,3.0,,,,,1.0,2.0,2.0,1.0
computation,,3.0,,1.0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0
regularization,,3.0,1.0,3.0,7.0,7.0,3.0,6.0,6.0,6.0,4.0,5.0
problems,,3.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,10.0
decision,,3.0,,1.0,1.0,5.0,1.0,8.0,8.0,2.0,6.0,8.0
nonlinear,,3.0,,2.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,7.0
source,,3.0,,,2.0,,,,1.0,1.0,,
uncertainty,,2.0,,,,,,1.0,,2.0,2.0,1.0
trial,,2.0,1.0,,,,,,,,,
perceptual,,2.0,,1.0,1.0,,1.0,2.0,,,2.0,2.0
combinatorial,,2.0,,,,2.0,,,1.0,3.0,2.0,5.0
blind,,2.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,2.0
segmentation,,2.0,2.0,2.0,3.0,3.0,6.0,2.0,,,3.0,5.0
recursive,,2.0,,3.0,,,1.0,1.0,1.0,4.0,2.0,2.0
stereo,,2.0,,,,,,,,,,
predefined,,2.0,,,,,,,,,,
adaptive,,2.0,2.0,3.0,5.0,4.0,6.0,3.0,12.0,3.0,10.0,17.0
randomized,,2.0,1.0,1.0,1.0,,2.0,,3.0,4.0,4.0,1.0
genotype,,2.0,,,,,,,,,,
anomaly,,2.0,,,2.0,,2.0,1.0,1.0,,,1.0
applications,,2.0,1.0,1.0,2.0,2.0,,4.0,4.0,3.0,3.0,6.0
speech,,2.0,2.0,,1.0,1.0,,,,,1.0,
constraints,,2.0,1.0,1.0,1.0,5.0,2.0,2.0,3.0,1.0,3.0,7.0
bottleneck,,2.0,1.0,,,,,1.0,,,,1.0
theoretic,,2.0,,1.0,,,,,,1.0,,
causal,,2.0,1.0,3.0,,2.0,2.0,1.0,2.0,4.0,4.0,5.0
logarithmic,,2.0,1.0,1.0,,,,,,,2.0,
embedding,,2.0,,1.0,1.0,4.0,3.0,,1.0,2.0,4.0,6.0
regret,,2.0,3.0,2.0,1.0,1.0,,2.0,3.0,3.0,4.0,5.0
denoising,,2.0,,1.0,,,1.0,1.0,2.0,1.0,,
parsing,,2.0,1.0,1.0,,,1.0,1.0,,,,
novel,,2.0,1.0,1.0,,3.0,,1.0,1.0,,1.0,
fmri,,2.0,3.0,2.0,1.0,1.0,,,1.0,,1.0,
scalable,,2.0,1.0,2.0,,,1.0,5.0,4.0,4.0,4.0,5.0
bound,,2.0,,2.0,,1.0,,3.0,,1.0,1.0,1.0
implicit,,2.0,,1.0,1.0,3.0,1.0,1.0,,2.0,,1.0
training,,2.0,2.0,1.0,2.0,1.0,4.0,3.0,4.0,5.0,6.0,14.0
delayed,,1.0,,,,,1.0,,,,,
disparity,,1.0,1.0,,,,,,,,,
general-sum,,1.0,,,,,,,,,,
tradeoff,,1.0,,,,,,,,,1.0,
perfect,,1.0,,,,,,1.0,1.0,,1.0,
subgame,,1.0,,,,,,,,,,
change-detection,,1.0,,,,,,,,,,
neurodynamics,,1.0,,,,,,,,,,
link,,1.0,1.0,,2.0,1.0,,3.0,,,1.0,
registration,,1.0,,,,,,,,,,
handling,,1.0,,,,,,,,,,
advertisements,,1.0,,,,,,,,,,
unknown,,1.0,,1.0,1.0,,,3.0,,2.0,3.0,2.0
doubly,,1.0,,,,,1.0,,,1.0,1.0,1.0
non-rigid,,1.0,1.0,,,1.0,,,,,,
factorization,,1.0,2.0,,2.0,2.0,3.0,4.0,,7.0,1.0,5.0
over-determined,,1.0,,,,,,,,,,
go,,1.0,,,,,,,,,,
cuts,,1.0,,,1.0,,1.0,,,,,
judgments,,1.0,,,,1.0,1.0,,,,,
content,,1.0,,1.0,1.0,,,1.0,,,,
low,,1.0,,1.0,,1.0,,1.0,4.0,2.0,1.0,1.0
neuroelectromagnetic,,1.0,,,,,,,,,,
limitations,,1.0,,,,,,,,,,1.0
carried,,1.0,,,,,,,,,,
fundamental,,1.0,,,,,,,,1.0,,1.0
primary,,1.0,,,,,1.0,,,,,
drift,,1.0,,,,1.0,,,1.0,,,
empirical,,1.0,1.0,2.0,,2.0,2.0,1.0,,1.0,3.0,2.0
binocular,,1.0,,,,,,,,,,
coherent,,1.0,,,,,,,,1.0,1.0,
robustness-performance,,1.0,,,,,,,,,,
negotiation,,1.0,,,,,,,,,,
approximating,,1.0,,,1.0,,1.0,2.0,,2.0,1.0,
grammar,,1.0,,2.0,,,2.0,,,1.0,1.0,
foreground/background,,1.0,,,,,,,,,,
weights,,1.0,,,,,,2.0,,1.0,2.0,2.0
hypergraphs,,1.0,,,,,,,2.0,1.0,,
multi-instance,,1.0,,,1.0,1.0,1.0,,,,,
unconcentrated,,1.0,,,,,,,,,,
lists,,1.0,,,,,,,,,,
multi-label,,1.0,,1.0,3.0,2.0,3.0,1.0,1.0,,3.0,
scene,,1.0,2.0,1.0,1.0,3.0,3.0,,,2.0,1.0,3.0
attribute-efficient,,1.0,,,,,,,,,,
motions,,1.0,,,,,,,,,,
contour,,1.0,,1.0,,,,1.0,1.0,,,
integrating,,1.0,,1.0,,,,,1.0,,2.0,1.0
series,,1.0,3.0,,,1.0,,,6.0,,3.0,2.0
differences,,1.0,,,,,,,,,2.0,1.0
infrequent,,1.0,,,,,,,,,,
quadratic,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,3.0
conjunctive,,1.0,,,,,,,,,,
emergence,,1.0,,,,1.0,1.0,1.0,,,,
doubling,,1.0,,,,,,,,,,
learnability,,1.0,,,,1.0,,,,,1.0,
hilbert,,1.0,,,,,1.0,1.0,1.0,3.0,,1.0
suppression,,1.0,,,,,,,,,,
videos,,1.0,,,,,,,,1.0,,1.0
patches,,1.0,1.0,,,,,,1.0,,,
stress,,1.0,,1.0,,,,,,,,
meta-parameter,,1.0,,,,,,,,,,
simplifying,,1.0,,,,,,,,,,
multi-robot,,1.0,,,,,,,,,,
four,,1.0,,,,,,,,,,
investigation,,1.0,,,,,,,,,,
category,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0
forests,,1.0,,,,,,4.0,1.0,2.0,,1.0
codebooks,,1.0,,,,,,,,,,
factors,,1.0,1.0,,,,,1.0,,,,1.0
mlle,,1.0,,,,,,,,,,
dyadic,,1.0,,1.0,,1.0,,,,,,
modified,,1.0,,,,,,,,,,
equivalence,,1.0,2.0,1.0,,,,,,,,1.0
part-based,,1.0,,,,,,,,,,
locally,,1.0,,1.0,1.0,1.0,,2.0,2.0,,3.0,1.0
sentiment,,1.0,,,,,,,,,,
isotonic,,1.0,,,,1.0,1.0,,,,1.0,
reverberant,,1.0,,,,,,,,,,
localizing,,1.0,,,1.0,,,1.0,,,,
advertising,,1.0,,1.0,,,,,1.0,,,
continued,,1.0,,,,,,,,,,
switched,,1.0,,,,1.0,,,,,,
tight,,1.0,,,,1.0,1.0,1.0,,4.0,,1.0
motor-cortical,,1.0,,,,,,,,,,
shift,,1.0,1.0,,,,,,,1.0,1.0,
collapsed,,1.0,1.0,,,,,,,,,
decoding,,1.0,1.0,1.0,1.0,2.0,3.0,,1.0,2.0,,
physically-based,,1.0,,,,,,,,,,
automatic,,1.0,3.0,1.0,,,,2.0,,1.0,1.0,1.0
co-occurrence,,1.0,,,,,,,,,,
allocation,,1.0,2.0,1.0,1.0,2.0,2.0,2.0,,1.0,1.0,
non,,1.0,,,,,,,,,,
cross-validation,,1.0,,,,,,,,,1.0,
iterative,,1.0,1.0,,1.0,,1.0,2.0,1.0,3.0,2.0,2.0
bistability,,1.0,,,,,1.0,,,,,
towards,,1.0,,1.0,,2.0,,2.0,,1.0,2.0,2.0
linearly-solvable,,1.0,,,,1.0,,,,,,
grasping,,1.0,,,,,,,,,,
style,,1.0,,,,,,,,,,
cooperative,,1.0,1.0,,,,,,,,,2.0
evidence,,1.0,,,2.0,,,1.0,1.0,1.0,,
neurophysiological,,1.0,,,,,,,,,,
expected,,1.0,,,,,,,,,,
repeated,,1.0,,,,1.0,1.0,,1.0,1.0,,
covariate,,1.0,1.0,,,,,,,,,
fenchel,,1.0,,,,,,,,,,
inequality,,1.0,,,,,,,1.0,,,
viral,,1.0,,,,,,,,,,
open,,1.0,,,,,,,,,,
ancestral,,1.0,,,,,,,,,,2.0
resistance,,1.0,,,,1.0,,,,,,
drug,,1.0,,,,,,,,,,
